regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Brasil;;;76;;;;01/08/2020;31;210147125;2707877;45392;93563;1088;1865729;748585;
Brasil;;;76;;;;02/08/2020;32;210147125;2733677;25800;94104;541;1883677;755896;
Brasil;;;76;;;;03/08/2020;32;210147125;2750318;16641;94665;561;1912319;743334;
Brasil;;;76;;;;04/08/2020;32;210147125;2801921;51603;95819;1154;1970767;735335;
Brasil;;;76;;;;05/08/2020;32;210147125;2857597;55676;97240;1421;2020637;741180;
Brasil;;;76;;;;06/08/2020;32;210147125;2912212;54615;98493;1253;2080916;781954;
Brasil;;;76;;;;07/08/2020;32;210147125;2962442;50230;99572;1079;2068394;794476;
Brasil;;;76;;;;08/08/2020;32;210147125;3012412;49970;100477;905;2094293;817642;
Brasil;;;76;;;;09/08/2020;33;210147125;3035422;23010;101049;572;2118460;815913;
Brasil;;;76;;;;10/08/2020;33;210147125;3057470;22048;101752;703;2163812;791906;
Brasil;;;76;;;;11/08/2020;33;210147125;3109630;52160;103026;1274;2243124;763480;
Brasil;;;76;;;;12/08/2020;33;210147125;3164785;55155;104201;1175;2309477;751107;
Brasil;;;76;;;;13/08/2020;33;210147125;3224876;60091;105463;1262;2356640;762773;
Brasil;;;76;;;;14/08/2020;33;210147125;3275520;50644;106523;1060;2384302;784695;
Brasil;;;76;;;;15/08/2020;33;210147125;3317096;41576;107232;709;2404272;805592;
Brasil;;;76;;;;16/08/2020;34;210147125;3340197;23101;107852;620;2432456;799889;
Brasil;;;76;;;;17/08/2020;34;210147125;3359570;19373;108536;684;2478494;772540;
Brasil;;;76;;;;18/08/2020;34;210147125;3407354;47784;109888;1352;2554179;743287;
Brasil;;;76;;;;19/08/2020;34;210147125;3456652;49298;111100;1212;2615254;730298;
Brasil;;;76;;;;20/08/2020;34;210147125;3501975;45323;112304;1204;2653407;736264;
Brasil;;;76;;;;21/08/2020;34;210147125;3532330;30355;113358;1054;2670755;748217;
Brasil;;;76;;;;22/08/2020;34;210147125;3582362;50032;114250;892;2709638;758474;
Brasil;;;76;;;;23/08/2020;35;210147125;3605783;23421;114744;494;2739035;752004;
Brasil;;;76;;;;24/08/2020;35;210147125;3622861;17078;115309;565;2778709;728843;
Brasil;;;76;;;;25/08/2020;35;210147125;3669995;47134;116580;1271;2848395;705020;
Brasil;;;76;;;;26/08/2020;35;210147125;3717156;47161;117665;1085;2908848;690642;
Brasil;;;76;;;;27/08/2020;35;210147125;3761391;44235;118649;984;2947250;695492;
Brasil;;;76;;;;28/08/2020;35;210147125;3804803;43412;119504;855;2976796;708503;
Brasil;;;76;;;;29/08/2020;35;210147125;3846153;41350;120462;958;3006679;719012;
Brasil;;;76;;;;30/08/2020;36;210147125;3862311;16158;120828;366;3031626;709857;
Brasil;;;76;;;;31/08/2020;36;210147125;3908272;45961;121381;553;3097734;689157;
Brasil;;;76;;;;01/09/2020;36;210147125;3950931;42659;122596;1215;3159096;669239;
Brasil;;;76;;;;02/09/2020;36;210147125;3997865;46934;123780;1184;3210405;663680;
Brasil;;;76;;;;03/09/2020;36;210147125;4041638;43773;124614;834;3247610;669414;
Brasil;;;76;;;;04/09/2020;36;210147125;4092832;51194;125521;907;3278918;688393;
Brasil;;;76;;;;05/09/2020;36;210147125;4123000;30168;126203;682;3296702;700095;
Brasil;;;76;;;;06/09/2020;37;210147125;4137521;14521;126650;447;3317227;693644;
Brasil;;;76;;;;07/09/2020;37;210147125;4147794;10273;126960;310;3355564;665270;
Brasil;;;76;;;;08/09/2020;37;210147125;4162073;14279;127464;504;3397234;637375;
Brasil;;;76;;;;09/09/2020;37;210147125;4197889;35816;128539;1075;3453336;616014;
Brasil;;;76;;;;10/09/2020;37;210147125;4238446;40557;129522;983;3497337;611587;
Brasil;;;76;;;;11/09/2020;37;210147125;4282164;43718;130396;874;3530655;621113;
Brasil;;;76;;;;12/09/2020;37;210147125;4315687;33523;131210;814;3553421;631056;
Brasil;;;76;;;;13/09/2020;38;210147125;4330455;14768;131625;415;3573958;624872;
Brasil;;;76;;;;14/09/2020;38;210147125;4345610;15155;132006;381;3613184;600420;
Brasil;;;76;;;;15/09/2020;38;210147125;4382263;36653;133119;1113;3671128;578016;
Brasil;;;76;;;;16/09/2020;38;210147125;4419083;36820;134106;987;3720312;564665;
